iter	Passed	Remaining
0	165	164931
1	174	87112
2	181	60293
3	186	46515
4	191	38053
5	194	32302
6	198	28110
7	201	24972
8	204	22481
9	207	20513
10	210	18892
11	212	17508
12	215	16354
13	217	15343
14	220	14492
15	223	13730
16	225	13054
17	228	12460
18	230	11914
19	233	11434
20	235	10987
21	238	10580
22	240	10219
23	242	9879
24	245	9577
25	247	9289
26	250	9018
27	252	8773
28	255	8539
29	257	8323
30	260	8146
31	262	7953
32	265	7778
33	267	7612
34	270	7461
35	273	7330
36	276	7200
37	279	7078
38	281	6947
39	284	6824
40	286	6708
41	289	6606
42	292	6502
43	294	6397
44	296	6294
45	299	6208
46	301	6121
47	304	6043
48	307	5963
49	309	5883
50	312	5815
51	315	5745
52	318	5682
53	320	5619
54	322	5549
55	325	5494
56	328	5433
57	330	5375
58	334	5327
59	336	5270
60	338	5217
61	341	5166
62	344	5129
63	347	5081
64	350	5036
65	352	4993
66	355	4948
67	358	4918
68	361	4876
69	364	4836
70	366	4792
71	368	4748
72	370	4709
73	373	4668
74	375	4629
75	378	4602
76	380	4565
77	383	4532
78	385	4498
79	388	4466
80	391	4441
81	394	4412
82	396	4385
83	399	4353
84	401	4322
85	404	4299
86	407	4273
87	409	4248
88	412	4224
89	414	4195
90	417	4172
91	420	4145
92	422	4119
93	424	4095
94	427	4069
95	429	4047
96	432	4023
97	434	4000
98	437	3978
99	439	3956
100	441	3932
101	444	3911
102	446	3890
103	448	3867
104	451	3846
105	453	3825
106	455	3803
107	458	3784
108	460	3763
109	463	3748
110	465	3730
111	468	3713
112	471	3700
113	473	3681
114	476	3664
115	478	3648
116	481	3630
117	483	3616
118	486	3598
119	488	3581
120	490	3565
121	493	3549
122	495	3532
123	498	3520
124	501	3507
125	504	3496
126	506	3483
127	509	3471
128	512	3460
129	515	3448
130	518	3436
131	520	3422
132	523	3410
133	525	3397
134	528	3383
135	530	3371
136	532	3356
137	535	3342
138	537	3328
139	539	3315
140	542	3302
141	544	3289
142	546	3276
143	549	3264
144	551	3252
145	553	3239
146	556	3227
147	558	3217
148	561	3204
149	563	3195
150	566	3183
151	568	3172
152	571	3161
153	574	3154
154	577	3147
155	580	3138
156	582	3129
157	585	3119
158	588	3111
159	590	3101
160	593	3091
161	595	3080
162	598	3071
163	600	3060
164	602	3050
165	605	3040
166	607	3029
167	609	3019
168	611	3008
169	614	2998
170	616	2988
171	618	2977
172	620	2967
173	623	2958
174	625	2948
175	627	2938
176	630	2931
177	633	2923
178	635	2916
179	638	2908
180	640	2898
181	643	2890
182	645	2881
183	647	2872
184	650	2865
185	652	2855
186	654	2846
187	657	2838
188	659	2829
189	661	2820
190	663	2812
191	666	2803
192	668	2795
193	670	2787
194	673	2778
195	675	2769
196	677	2762
197	679	2753
198	682	2745
199	684	2738
200	686	2729
201	688	2721
202	691	2713
203	693	2706
204	696	2699
205	698	2691
206	700	2683
207	702	2676
208	705	2668
209	707	2661
210	709	2654
211	712	2647
212	714	2640
213	717	2633
214	719	2626
215	721	2618
216	723	2611
217	726	2604
218	728	2597
219	730	2590
220	732	2582
221	734	2575
222	737	2569
223	739	2562
224	741	2554
225	744	2548
226	746	2540
227	748	2533
228	750	2526
229	752	2520
230	755	2514
231	757	2507
232	759	2501
233	761	2494
234	764	2487
235	766	2481
236	769	2477
237	771	2470
238	773	2464
239	776	2457
240	778	2450
241	780	2444
242	782	2438
243	785	2432
244	787	2425
245	789	2419
246	791	2413
247	793	2406
248	796	2401
249	798	2395
250	801	2390
251	804	2388
252	808	2386
253	810	2381
254	813	2377
255	816	2372
256	819	2367
257	821	2362
258	824	2357
259	826	2351
260	829	2347
261	831	2342
262	834	2337
263	836	2332
264	839	2328
265	842	2323
266	844	2319
267	847	2314
268	849	2309
269	852	2304
270	855	2300
271	857	2295
272	860	2291
273	862	2286
274	865	2281
275	867	2276
276	870	2271
277	872	2266
278	875	2261
279	877	2257
280	880	2251
281	882	2247
282	885	2242
283	887	2238
284	890	2234
285	893	2229
286	895	2225
287	898	2220
288	900	2215
289	903	2211
290	905	2206
291	907	2201
292	910	2196
293	912	2190
294	914	2185
295	917	2181
296	919	2176
297	921	2171
298	924	2168
299	927	2163
300	929	2158
301	932	2154
302	934	2149
303	937	2145
304	939	2141
305	942	2136
306	944	2132
307	947	2128
308	949	2123
309	952	2119
310	954	2114
311	957	2110
312	959	2106
313	962	2101
314	964	2097
315	967	2093
316	969	2089
317	972	2085
318	974	2080
319	977	2077
320	980	2073
321	982	2069
322	985	2064
323	987	2060
324	990	2057
325	993	2053
326	995	2049
327	999	2046
328	1001	2043
329	1004	2038
330	1007	2035
331	1010	2032
332	1012	2028
333	1015	2025
334	1018	2021
335	1021	2017
336	1024	2014
337	1026	2010
338	1029	2006
339	1031	2002
340	1034	1999
341	1037	1995
342	1040	1992
343	1042	1988
344	1045	1984
345	1047	1980
346	1050	1976
347	1052	1972
348	1055	1969
349	1058	1965
350	1061	1962
351	1064	1959
352	1066	1955
353	1069	1951
354	1072	1947
355	1074	1944
356	1077	1941
357	1082	1941
358	1085	1938
359	1088	1935
360	1091	1932
361	1094	1929
362	1097	1925
363	1099	1921
364	1102	1917
365	1105	1914
366	1107	1910
367	1110	1907
368	1113	1904
369	1116	1901
370	1119	1897
371	1122	1894
372	1124	1890
373	1127	1887
374	1130	1884
375	1132	1880
376	1136	1877
377	1138	1873
378	1141	1869
379	1143	1865
380	1145	1861
381	1148	1857
382	1150	1853
383	1152	1849
384	1155	1846
385	1158	1842
386	1160	1838
387	1163	1834
388	1165	1831
389	1168	1827
390	1171	1823
391	1173	1819
392	1175	1815
393	1178	1811
394	1180	1808
395	1183	1805
396	1186	1801
397	1189	1798
398	1191	1794
399	1193	1790
400	1196	1787
401	1199	1783
402	1201	1780
403	1204	1776
404	1206	1772
405	1208	1768
406	1211	1764
407	1213	1760
408	1216	1757
409	1218	1753
410	1220	1749
411	1223	1746
412	1225	1742
413	1228	1738
414	1230	1734
